procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96915656 100608 28560800    0    0     0     0 1997 1331  8  1 91  0  0
 8  0      0 96914384 100608 28561380    0    0     0     0 2182 1816  9  1 90  0  0
 4  0      0 96915312 100612 28561508    0    0     0    56 2299 1637  9  1 90  0  0
 7  0      0 96906560 100612 28571756    0    0     0     0 2029 1536  9  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96915616 100612 28561692    0    0     0     0 2178 1583  8  1 90  0  0
 4  0      0 96919744 100612 28562008    0    0     0     0 2084 1593  9  1 90  0  0
 8  0      0 96918608 100612 28561016    0    0     0     0 2166 1577  8  1 90  0  0
 4  0      0 96918784 100616 28561416    0    0     0    32 2048 1553  8  1 91  0  0
 4  0      0 96917696 100616 28561264    0    0     0     4 2175 1639  8  1 90  0  0
 8  0      0 96922408 100616 28561356    0    0     0     0 1948 1489  8  1 91  0  0
 4  0      0 96921592 100616 28561164    0    0     0     0 2114 1602  8  1 91  0  0
 4  0      0 96919184 100616 28560400    0    0     0     0 1892 1289  8  1 91  0  0
 4  0      0 96915056 100620 28561252    0    0     0    36 2190 1722  8  1 91  0  0
 4  0      0 96914320 100620 28561516    0    0     0     4 2067 1550  8  1 91  0  0
 8  0      0 96920096 100620 28560316    0    0     0     0 2058 1579  8  1 91  0  0
 4  0      0 96919280 100620 28561120    0    0     0     0 2001 1533  8  1 91  0  0
 5  0      0 96898384 100620 28577900    0    0     0     0 2117 1633  8  1 91  0  0
 4  0      0 96920384 100624 28560736    0    0     0    16 2063 1480  8  1 91  0  0
 4  0      0 96919640 100624 28560900    0    0     0     0 2256 1685  8  1 90  0  0
 8  0      0 96862704 100624 28617196    0    0     0     0 1981 1537  8  1 91  0  0
 4  0      0 96918656 100624 28561448    0    0     0     0 2094 1488  8  1 91  0  0
 4  0      0 96918912 100624 28561340    0    0     0     0 2064 1565  8  1 91  0  0
 4  0      0 96918736 100624 28559980    0    0     0    28 2022 1427  8  1 91  0  0
 4  0      0 96920016 100624 28560884    0    0     0     0 2118 1725  8  1 91  0  0
 4  0      0 96919248 100624 28561576    0    0     0     0 2102 1597  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96919344 100624 28559684    0    0     0     0 1899 1523  8  1 91  0  0
 4  0      0 96918608 100624 28560788    0    0     0     0 2278 1616  9  1 90  0  0
 7  0      0 96894768 100624 28586540    0    0     0    92 2087 1484  8  1 90  0  0
 4  0      0 96920880 100624 28560584    0    0     0     0 2210 1576  8  1 91  0  0
 5  0      0 96919304 100624 28562184    0    0     0    88 2232 1685  9  1 90  0  0
 8  0      0 96919088 100624 28560120    0    0     0     0 2125 1445  8  1 90  0  0
 4  0      0 96916520 100624 28561876    0    0     0     0 2092 1646  8  1 90  0  0
 6  0      0 96892080 100624 28586660    0    0     0    32 2221 1586  9  1 90  0  0
 4  0      0 96912976 100624 28560644    0    0     0     0 2025 1385  8  1 91  0  0
 4  0      0 96912968 100624 28561200    0    0     0     4 2284 1843  8  1 90  0  0
