index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 52 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7815 MiB
1, 96 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7815 MiB
1, 93 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7815 MiB
1, 96 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 48 %, 7815 MiB
1, 92 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7815 MiB
1, 92 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7815 MiB
1, 97 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 43 %, 7815 MiB
1, 93 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 48 %, 7815 MiB
1, 96 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7815 MiB
1, 93 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 96 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 49 %, 7815 MiB
